FAILED (HTTP): PC_Transport_Committee_FOR_2023-24.pdf | URL: https://docs.eclegislature.gov.za/documents/committee_report/PC Transport Committee FOR 2023-24.pdf | Status: 403 | Error: 403 Client Error: Forbidden for url: https://docs.eclegislature.gov.za/documents/committee_report/PC%20Transport%20Committee%20FOR%202023-24.pdf
FAILED (HTTP): PC_COMMUNITY_Safety_AR_2022-23_edit_07_FEB_2024.pdf | URL: https://docs.eclegislature.gov.za/documents/committee_report/PC COMMUNITY Safety AR 2022-23 edit 07 FEB 2024.pdf | Status: 403 | Error: 403 Client Error: Forbidden for url: https://docs.eclegislature.gov.za/documents/committee_report/PC%20COMMUNITY%20Safety%20AR%202022-23%20edit%2007%20FEB%202024.pdf
FAILED (HTTP): PC_Human_Settlements_Committee_FOR_2023-24.pdf | URL: https://docs.eclegislature.gov.za/documents/committee_report/PC Human Settlements Committee FOR 2023-24.pdf | Status: 403 | Error: 403 Client Error: Forbidden for url: https://docs.eclegislature.gov.za/documents/committee_report/PC%20Human%20Settlements%20Committee%20FOR%202023-24.pdf
FAILED (HTTP): PC_Human_Settlements_AR_Report_2022-23.pdf | URL: https://docs.eclegislature.gov.za/documents/committee_report/PC Human Settlements AR Report 2022-23.pdf | Status: 403 | Error: 403 Client Error: Forbidden for url: https://docs.eclegislature.gov.za/documents/committee_report/PC%20Human%20Settlements%20AR%20Report%202022-23.pdf
FAILED (HTTP): PC_Finance_Comnittee_AR_2022023.pdf | URL: https://docs.eclegislature.gov.za/documents/committee_report/PC Finance Comnittee AR 2022023.pdf | Status: 403 | Error: 403 Client Error: Forbidden for url: https://docs.eclegislature.gov.za/documents/committee_report/PC%20Finance%20Comnittee%20AR%202022023.pdf
FAILED (HTTP): PC_Finance_Committee_FOR_2023-24.pdf | URL: https://docs.eclegislature.gov.za/documents/committee_report/PC Finance Committee FOR 2023-24.pdf | Status: 403 | Error: 403 Client Error: Forbidden for url: https://docs.eclegislature.gov.za/documents/committee_report/PC%20Finance%20Committee%20FOR%202023-24.pdf
FAILED (HTTP): PC_COMMUNITY_Safety_Committee_FOR_2023-24_07_FEB_2024.pdf | URL: https://docs.eclegislature.gov.za/documents/committee_report/PC COMMUNITY Safety Committee FOR 2023-24 07 FEB 2024.pdf | Status: 403 | Error: 403 Client Error: Forbidden for url: https://docs.eclegislature.gov.za/documents/committee_report/PC%20COMMUNITY%20Safety%20Committee%20FOR%202023-24%2007%20FEB%202024.pdf
FAILED (HTTP): PC_Sports_Committee_AR_2022-23.pdf | URL: https://docs.eclegislature.gov.za/documents/committee_report/PC Sports Committee AR 2022-23.pdf | Status: 403 | Error: 403 Client Error: Forbidden for url: https://docs.eclegislature.gov.za/documents/committee_report/PC%20Sports%20Committee%20AR%202022-23.pdf
FAILED (HTTP): PC_Sports_Committee_FOR_2023-24.pdf | URL: https://docs.eclegislature.gov.za/documents/committee_report/PC Sports Committee FOR 2023-24.pdf | Status: 403 | Error: 403 Client Error: Forbidden for url: https://docs.eclegislature.gov.za/documents/committee_report/PC%20Sports%20Committee%20FOR%202023-24.pdf
FAILED (HTTP): PC_Transport_AR_2022-23.pdf | URL: https://docs.eclegislature.gov.za/documents/committee_report/PC Transport AR 2022-23.pdf | Status: 403 | Error: 403 Client Error: Forbidden for url: https://docs.eclegislature.gov.za/documents/committee_report/PC%20Transport%20AR%202022-23.pdf
FAILED (HTTP): SESOT-_SUMMARY_National_Small_Enterprise_Amendment_Bill_B_16B-2023.file | URL: https://docs.eclegislature.gov.za/documents/section76_bills/SESOT- SUMMARY National Small Enterprise Amendment Bill B 16B-2023 | Status: 403 | Error: 403 Client Error: Forbidden for url: https://docs.eclegislature.gov.za/documents/section76_bills/SESOT-%20SUMMARY%20National%20Small%20Enterprise%20Amendment%20Bill%20B%2016B-2023
